ImageName,Car,Bus,Other,Bridge,Bicycle,Palm,Stair,Motorcycle,Chimney,Crosswalk,Hydrant,Traffic Light
05437.png,0.0045,0.0005,0.0006,0.9898,0.0006,0.0007,0.0007,0.0005,0.0006,0.0007,0.0004,0.0003
05438.png,0.0076,0.0063,0.2301,0.0046,0.0103,0.7133,0.0034,0.0031,0.0076,0.0041,0.0051,0.0045
05439.png,0.0076,0.0022,0.4342,0.0069,0.0051,0.0066,0.0034,0.0034,0.5235,0.0027,0.0021,0.0023
05440.png,0.2224,0.0014,0.0009,0.0019,0.0012,0.0019,0.0012,0.0018,0.0009,0.0059,0.0007,0.7597
05441.png,0.0227,0.0062,0.8516,0.0128,0.008,0.0563,0.0054,0.006,0.0086,0.0112,0.0062,0.005
05442.png,0.1047,0.0088,0.1048,0.012,0.0058,0.0028,0.0055,0.0068,0.0054,0.72,0.0031,0.0203
05443.png,0.9955,0.0007,0.0003,0.0004,0.0004,0.0006,0.0003,0.0005,0.0003,0.0003,0.0003,0.0006
05444.png,0.0003,0.0012,0.0007,0.0007,0.016,0.0006,0.0008,0.0008,0.0006,0.9778,0.0005,0.0004
05445.png,0.0004,0.0003,0.0016,0.0006,0.0003,0.0004,0.0003,0.0004,0.0007,0.0004,0.0003,0.9943
05446.png,0.0005,0.0003,0.0006,0.0003,0.0003,0.9957,0.0003,0.0004,0.0004,0.0004,0.0003,0.0004
05447.png,0.9915,0.0017,0.0006,0.0012,0.0007,0.0006,0.0006,0.0007,0.0004,0.0006,0.0006,0.0007
05448.png,0.9894,0.0021,0.0007,0.0011,0.0007,0.001,0.0004,0.0006,0.0004,0.0005,0.0003,0.003
05449.png,0.0052,0.0029,0.9688,0.0033,0.0034,0.0021,0.001,0.0018,0.0029,0.0026,0.0021,0.004
05450.png,0.0006,0.0002,0.0005,0.0003,0.0002,0.0004,0.0003,0.0003,0.0003,0.0003,0.0002,0.9965
05451.png,0.8112,0.0054,0.0463,0.0925,0.0026,0.0035,0.0042,0.0018,0.0028,0.0071,0.0014,0.0212
05452.png,0.9846,0.0009,0.0027,0.0023,0.0013,0.0009,0.0008,0.0008,0.0007,0.0012,0.0004,0.0034
05453.png,0.0006,0.0005,0.0032,0.0009,0.0005,0.9907,0.0004,0.0005,0.0008,0.0007,0.0006,0.0005
05454.png,0.0002,0.0004,0.0002,0.0003,0.0002,0.0002,0.0002,0.0002,0.0002,0.9975,0.0002,0.0002
05455.png,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9989,0.0001
05456.png,0.0005,0.0006,0.0002,0.0003,0.0002,0.0002,0.0002,0.0002,0.0002,0.9968,0.0002,0.0004
05457.png,0.0033,0.002,0.0006,0.0005,0.0007,0.0004,0.0004,0.0004,0.0003,0.991,0.0002,0.0004
05458.png,0.0003,0.0004,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9975,0.0002,0.0002
05459.png,0.0011,0.0002,0.0006,0.0005,0.0002,0.0006,0.0003,0.0003,0.0004,0.0003,0.0002,0.9952
05460.png,0.9852,0.001,0.002,0.0024,0.0018,0.0015,0.0011,0.0014,0.0008,0.0009,0.001,0.0009
05461.png,0.0032,0.0073,0.8798,0.0059,0.004,0.054,0.0031,0.0037,0.0089,0.0111,0.013,0.006
05462.png,0.9857,0.0012,0.0021,0.0018,0.0007,0.0037,0.0008,0.001,0.0007,0.0007,0.0005,0.0011
05463.png,0.0004,0.0005,0.0002,0.0003,0.0002,0.0002,0.0002,0.0003,0.0002,0.9972,0.0002,0.0002
05464.png,0.0004,0.0005,0.0007,0.0008,0.0007,0.0005,0.9932,0.0008,0.001,0.0004,0.0004,0.0005
05465.png,0.9862,0.0057,0.0013,0.0016,0.0008,0.0007,0.0007,0.0007,0.0003,0.0005,0.0003,0.0012
05466.png,0.9362,0.0024,0.0252,0.0027,0.0026,0.0231,0.0014,0.0014,0.0013,0.0015,0.0012,0.0011
05467.png,0.0003,0.0008,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9968,0.0002,0.0003
05468.png,0.0007,0.0006,0.0005,0.0009,0.0006,0.0007,0.9923,0.001,0.0009,0.001,0.0004,0.0006
05469.png,0.9915,0.001,0.0006,0.0014,0.0007,0.0011,0.0007,0.001,0.0004,0.0007,0.0004,0.0005
05470.png,0.0011,0.0005,0.0015,0.0008,0.0005,0.9681,0.0006,0.0007,0.0007,0.0009,0.0005,0.0241
05471.png,0.9912,0.0007,0.0008,0.0011,0.0005,0.0007,0.0005,0.0004,0.0003,0.0007,0.0003,0.0027
05472.png,0.0003,0.0004,0.0003,0.0003,0.0002,0.0004,0.0003,0.0003,0.0003,0.9968,0.0002,0.0002
05473.png,0.0003,0.9978,0.0002,0.0002,0.0003,0.0002,0.0002,0.0001,0.0002,0.0002,0.0001,0.0002
05474.png,0.2441,0.054,0.624,0.0339,0.0057,0.0045,0.0054,0.0045,0.0032,0.0094,0.0042,0.0071
05475.png,0.0003,0.0003,0.0003,0.0003,0.0003,0.9966,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
05476.png,0.068,0.4293,0.3134,0.0229,0.0664,0.0074,0.0106,0.0212,0.0156,0.0104,0.0043,0.0305
05477.png,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.9989,0.0001
05478.png,0.0142,0.0073,0.8557,0.0076,0.0093,0.0214,0.0089,0.0051,0.0412,0.0151,0.0087,0.0057
05479.png,0.045,0.0025,0.0008,0.0016,0.0011,0.0011,0.0013,0.0016,0.0008,0.0298,0.0007,0.9138
05480.png,0.991,0.0027,0.001,0.0008,0.0013,0.0005,0.0004,0.0004,0.0002,0.0007,0.0002,0.0006
05481.png,0.9904,0.0006,0.0009,0.0013,0.0011,0.0006,0.0007,0.0007,0.0006,0.0023,0.0003,0.0006
05482.png,0.9847,0.0017,0.0004,0.001,0.001,0.0023,0.0008,0.0013,0.0004,0.003,0.0003,0.003
05483.png,0.9942,0.0006,0.0005,0.0009,0.0007,0.0003,0.0003,0.0006,0.0003,0.0005,0.0003,0.0007
05484.png,0.99,0.0006,0.0011,0.0018,0.001,0.0003,0.0006,0.0006,0.0005,0.0014,0.0002,0.0017
05485.png,0.0121,0.0009,0.9463,0.0027,0.0021,0.0245,0.0014,0.0014,0.0019,0.0022,0.0014,0.0031
05486.png,0.9915,0.0009,0.0009,0.0019,0.0005,0.0005,0.0005,0.0005,0.0003,0.0008,0.0004,0.0012
05487.png,0.0004,0.0016,0.0011,0.001,0.0354,0.0006,0.0009,0.0008,0.0006,0.9567,0.0003,0.0005
05488.png,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.9988,0.0001
05489.png,0.0003,0.9974,0.0002,0.0002,0.0005,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
05490.png,0.0002,0.0002,0.0001,0.0001,0.0003,0.0001,0.0001,0.0003,0.0001,0.0001,0.9982,0.0001
05491.png,0.0002,0.0005,0.0005,0.0004,0.0003,0.0002,0.0003,0.0003,0.0003,0.9965,0.0003,0.0002
05492.png,0.0158,0.0022,0.0027,0.0021,0.0087,0.0017,0.9508,0.0041,0.0044,0.0039,0.0017,0.0019
05493.png,0.0004,0.0005,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.9972,0.0002,0.0002
05494.png,0.9883,0.0007,0.0006,0.0021,0.0008,0.001,0.0007,0.0007,0.0005,0.0011,0.0005,0.0029
05495.png,0.0002,0.0004,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0002,0.9976,0.0002,0.0002
05496.png,0.0007,0.0009,0.001,0.0005,0.0003,0.0004,0.0007,0.0006,0.0009,0.993,0.0003,0.0006
05497.png,0.002,0.0008,0.0007,0.0017,0.0031,0.0016,0.0032,0.9802,0.0025,0.0017,0.0011,0.0013
05498.png,0.0016,0.9959,0.0004,0.0003,0.0003,0.0004,0.0002,0.0002,0.0002,0.0003,0.0001,0.0002
05499.png,0.4669,0.0058,0.4396,0.0377,0.0044,0.0045,0.004,0.0029,0.0032,0.0081,0.0035,0.0193
05500.png,0.0607,0.0042,0.1927,0.0247,0.0257,0.0412,0.0309,0.0111,0.5758,0.0153,0.0076,0.0101
05501.png,0.9822,0.002,0.0018,0.0029,0.0011,0.0015,0.0014,0.0012,0.0009,0.0019,0.0007,0.0024
05502.png,0.0124,0.0064,0.0022,0.0027,0.0729,0.0035,0.0025,0.0047,0.0021,0.8883,0.0013,0.001
05503.png,0.0003,0.0006,0.001,0.0005,0.0004,0.0004,0.0005,0.0004,0.0004,0.9949,0.0003,0.0002
05504.png,0.0275,0.0007,0.0022,0.001,0.0007,0.9626,0.0009,0.0012,0.0007,0.0008,0.0007,0.001
05505.png,0.0002,0.0004,0.0002,0.0003,0.0002,0.0002,0.0005,0.0003,0.0002,0.997,0.0002,0.0003
05506.png,0.0073,0.0016,0.9487,0.0039,0.0023,0.008,0.0034,0.0019,0.0152,0.0015,0.0014,0.0049
05507.png,0.0003,0.9979,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002,0.0002,0.0003,0.0001,0.0002
05508.png,0.9824,0.0027,0.0012,0.0019,0.0018,0.0028,0.0012,0.0021,0.0007,0.0017,0.0007,0.0008
05509.png,0.9669,0.0018,0.0153,0.002,0.0017,0.0025,0.0009,0.001,0.001,0.0038,0.0006,0.0024
05510.png,0.0016,0.0011,0.0027,0.0022,0.0015,0.0012,0.0023,0.002,0.9812,0.0015,0.0013,0.0013
05511.png,0.002,0.0033,0.3469,0.0087,0.0041,0.5824,0.0037,0.0053,0.0286,0.0034,0.003,0.0085
05512.png,0.0006,0.0003,0.0003,0.0004,0.0002,0.0005,0.0003,0.0003,0.0003,0.0004,0.0002,0.9963
05513.png,0.9007,0.0012,0.0026,0.0804,0.0035,0.0025,0.0013,0.0016,0.0019,0.0013,0.0012,0.0018
05514.png,0.5548,0.2794,0.0184,0.1044,0.0165,0.0031,0.0066,0.0033,0.0025,0.0047,0.0015,0.0049
05515.png,0.6096,0.0027,0.3517,0.0061,0.0025,0.0073,0.0033,0.0021,0.0041,0.0032,0.0024,0.0051
05516.png,0.9766,0.0011,0.0011,0.0117,0.0015,0.0018,0.0013,0.0013,0.0009,0.0012,0.0007,0.0008
05517.png,0.9711,0.0023,0.0032,0.0046,0.003,0.0038,0.0019,0.0035,0.001,0.0023,0.0022,0.0011
05518.png,0.0428,0.0143,0.4537,0.0817,0.0163,0.0727,0.0118,0.0265,0.0307,0.0145,0.0116,0.2233
05519.png,0.9842,0.0013,0.002,0.002,0.0021,0.0018,0.0012,0.002,0.0008,0.001,0.0008,0.0007
05520.png,0.0055,0.0016,0.9562,0.0071,0.0022,0.0039,0.0029,0.0013,0.0137,0.0031,0.0015,0.0009
05521.png,0.9877,0.0011,0.0013,0.002,0.0009,0.0007,0.001,0.0009,0.0006,0.0011,0.0008,0.0019
05522.png,0.9922,0.0006,0.0007,0.0012,0.001,0.0007,0.0005,0.0009,0.0004,0.0007,0.0005,0.0007
05523.png,0.9919,0.0015,0.0005,0.001,0.0007,0.0008,0.0006,0.0009,0.0004,0.0006,0.0005,0.0007
05524.png,0.0002,0.0004,0.0002,0.0003,0.0001,0.0002,0.0002,0.0002,0.0002,0.9975,0.0001,0.0002
05525.png,0.0002,0.0003,0.0003,0.0003,0.0003,0.0002,0.0003,0.0003,0.0002,0.9972,0.0002,0.0003
05526.png,0.9859,0.0008,0.0021,0.0018,0.0017,0.0011,0.0012,0.0018,0.0008,0.0009,0.0007,0.0013
05527.png,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0002,0.0001,0.9984,0.0001
05528.png,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.9986,0.0001
05529.png,0.0012,0.0004,0.0055,0.9875,0.0005,0.001,0.0008,0.0005,0.0009,0.0005,0.0006,0.0006
05530.png,0.9956,0.0007,0.0005,0.0003,0.0006,0.0005,0.0002,0.0004,0.0003,0.0003,0.0002,0.0003
05531.png,0.0004,0.0003,0.0005,0.0004,0.0003,0.0004,0.0003,0.0003,0.0004,0.0005,0.0002,0.996
05532.png,0.0018,0.0018,0.0486,0.0044,0.0017,0.9295,0.0017,0.0018,0.003,0.002,0.0014,0.0022
05533.png,0.0005,0.0003,0.0003,0.0003,0.0004,0.9958,0.0003,0.0005,0.0005,0.0004,0.0003,0.0004
05534.png,0.9798,0.0044,0.0015,0.0023,0.0022,0.0026,0.0014,0.0021,0.0006,0.0013,0.0009,0.0008
05535.png,0.0003,0.0007,0.0003,0.0003,0.0002,0.0002,0.0003,0.0002,0.0002,0.997,0.0002,0.0002
05536.png,0.9924,0.0007,0.0004,0.0009,0.0005,0.0009,0.0004,0.0006,0.0003,0.0013,0.0003,0.0013
05537.png,0.0005,0.0013,0.0014,0.001,0.0006,0.0009,0.0006,0.0008,0.0005,0.99,0.0005,0.0017
05538.png,0.0006,0.0016,0.0012,0.0005,0.0028,0.0005,0.0006,0.0056,0.001,0.0005,0.9847,0.0005
05539.png,0.0031,0.0012,0.0229,0.0029,0.0019,0.9555,0.0018,0.0017,0.003,0.0014,0.0018,0.0029
05540.png,0.993,0.0006,0.0012,0.002,0.0004,0.0006,0.0004,0.0004,0.0003,0.0003,0.0003,0.0006
05541.png,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.9987,0.0001
05542.png,0.9895,0.0013,0.0013,0.0012,0.0014,0.0009,0.0007,0.0012,0.0007,0.0005,0.0008,0.0007
05543.png,0.0028,0.0005,0.0004,0.9926,0.0004,0.0004,0.0006,0.0004,0.0005,0.0007,0.0003,0.0003
05544.png,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.9988,0.0001
05545.png,0.0003,0.0002,0.0003,0.0002,0.9974,0.0002,0.0003,0.0003,0.0003,0.0002,0.0002,0.0002
05546.png,0.993,0.0011,0.0008,0.0007,0.0011,0.0007,0.0005,0.0007,0.0004,0.0003,0.0004,0.0004
05547.png,0.0004,0.9979,0.0001,0.0001,0.0003,0.0002,0.0002,0.0002,0.0001,0.0002,0.0001,0.0001
05548.png,0.0002,0.9979,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
05549.png,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.9989,0.0001
05550.png,0.0003,0.0002,0.0003,0.0002,0.9972,0.0002,0.0003,0.0004,0.0003,0.0003,0.0002,0.0002
05551.png,0.0004,0.0003,0.0003,0.0003,0.9971,0.0002,0.0003,0.0003,0.0003,0.0002,0.0002,0.0002
05552.png,0.9967,0.0003,0.0005,0.0003,0.0003,0.0002,0.0002,0.0002,0.0002,0.0004,0.0002,0.0005
05553.png,0.0555,0.0095,0.7516,0.0277,0.0167,0.0495,0.0111,0.0131,0.0186,0.0133,0.015,0.0184
05554.png,0.9903,0.0008,0.0007,0.0011,0.0014,0.001,0.0007,0.0014,0.0006,0.0007,0.0006,0.0008
05555.png,0.0005,0.0003,0.0004,0.0004,0.0003,0.9957,0.0004,0.0005,0.0003,0.0005,0.0003,0.0005
05556.png,0.6742,0.005,0.2102,0.0167,0.018,0.0231,0.0083,0.0069,0.0118,0.0096,0.0073,0.0089
05557.png,0.0003,0.0003,0.0005,0.0003,0.9967,0.0002,0.0003,0.0003,0.0003,0.0003,0.0002,0.0003
05558.png,0.0003,0.0003,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0002,0.9975,0.0002,0.0002
05559.png,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002,0.0002,0.0001,0.9986,0.0001
05560.png,0.0046,0.002,0.0008,0.0018,0.004,0.0024,0.0038,0.971,0.0021,0.0045,0.0014,0.0016
05561.png,0.0004,0.0003,0.0013,0.9933,0.0005,0.0004,0.0008,0.0006,0.0014,0.0003,0.0004,0.0004
05562.png,0.0005,0.0005,0.0002,0.0003,0.0002,0.0002,0.0002,0.0002,0.0002,0.9971,0.0002,0.0002
05563.png,0.0895,0.0058,0.735,0.0057,0.0076,0.1088,0.0099,0.0046,0.0167,0.0056,0.003,0.0075
05564.png,0.6881,0.0343,0.1704,0.0211,0.0189,0.024,0.009,0.0085,0.0111,0.005,0.0036,0.006
05565.png,0.0006,0.0003,0.0003,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0005,0.0002,0.9962
05566.png,0.0915,0.0058,0.8033,0.0084,0.0057,0.0393,0.0065,0.0061,0.0096,0.0085,0.0074,0.0078
05567.png,0.0002,0.0006,0.0002,0.0003,0.0002,0.0002,0.0002,0.0002,0.0002,0.9972,0.0002,0.0003
05568.png,0.0095,0.0015,0.9722,0.0034,0.0028,0.0016,0.0015,0.0012,0.0014,0.0016,0.0009,0.0025
05569.png,0.0039,0.0014,0.0293,0.0016,0.0012,0.9553,0.0013,0.0011,0.0024,0.001,0.0006,0.001
05570.png,0.0003,0.0002,0.0003,0.0002,0.9974,0.0002,0.0003,0.0003,0.0003,0.0002,0.0002,0.0002
05571.png,0.0002,0.0005,0.0003,0.0003,0.0002,0.0002,0.0003,0.0002,0.0003,0.997,0.0002,0.0003
05572.png,0.0005,0.0003,0.0003,0.0003,0.997,0.0002,0.0003,0.0003,0.0003,0.0002,0.0002,0.0002
05573.png,0.0003,0.0002,0.0003,0.0004,0.0002,0.0005,0.0003,0.0003,0.0005,0.0004,0.0004,0.9961
05574.png,0.0004,0.0002,0.0003,0.0004,0.0002,0.0004,0.0003,0.0003,0.0004,0.0002,0.0003,0.9964
05575.png,0.0033,0.001,0.5806,0.3863,0.0031,0.0064,0.0026,0.0018,0.0076,0.0023,0.0016,0.0032
05576.png,0.0018,0.001,0.021,0.0024,0.0022,0.0015,0.0027,0.0018,0.9623,0.0011,0.0009,0.0011
05577.png,0.0005,0.9978,0.0002,0.0002,0.0003,0.0002,0.0002,0.0001,0.0001,0.0002,0.0001,0.0002
05578.png,0.0013,0.0016,0.9742,0.0032,0.0014,0.0077,0.0016,0.0011,0.0037,0.0012,0.0006,0.0023
05579.png,0.0006,0.0003,0.0005,0.9949,0.0003,0.0005,0.0006,0.0004,0.0006,0.0005,0.0004,0.0004
05580.png,0.9914,0.0008,0.0008,0.0009,0.0015,0.0007,0.0006,0.001,0.0004,0.001,0.0005,0.0006
05581.png,0.9952,0.0005,0.0004,0.0007,0.0005,0.0005,0.0003,0.0005,0.0002,0.0003,0.0004,0.0005
05582.png,0.9844,0.0008,0.001,0.0023,0.0027,0.001,0.0009,0.0019,0.0009,0.0008,0.0024,0.001
05583.png,0.0064,0.0004,0.0004,0.0005,0.0003,0.9894,0.0005,0.0005,0.0003,0.0005,0.0003,0.0005
05584.png,0.03,0.0034,0.9406,0.0035,0.0036,0.0053,0.0014,0.0012,0.0028,0.0037,0.0019,0.0026
05585.png,0.9682,0.001,0.0095,0.0063,0.0021,0.0024,0.0019,0.0018,0.0016,0.0018,0.0011,0.0023
05586.png,0.0034,0.0006,0.9859,0.0014,0.001,0.0022,0.0005,0.0006,0.0012,0.0014,0.0002,0.0015
05587.png,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.9988,0.0001
05588.png,0.0004,0.0005,0.0013,0.0008,0.0003,0.003,0.0006,0.0007,0.0008,0.0004,0.0006,0.9905
05589.png,0.0216,0.0115,0.411,0.0456,0.4724,0.0082,0.0082,0.0052,0.0068,0.0044,0.0034,0.0019
05590.png,0.0024,0.0014,0.9776,0.0025,0.0023,0.005,0.001,0.0012,0.0017,0.0018,0.0006,0.0025
05591.png,0.993,0.0004,0.0007,0.0009,0.0007,0.0014,0.0004,0.0007,0.0004,0.0004,0.0004,0.0007
05592.png,0.9969,0.0004,0.0003,0.0004,0.0003,0.0003,0.0002,0.0003,0.0002,0.0003,0.0002,0.0003
05593.png,0.0003,0.0003,0.0003,0.0003,0.9968,0.0002,0.0003,0.0005,0.0003,0.0002,0.0002,0.0002
05594.png,0.9826,0.0045,0.0017,0.0021,0.0012,0.0011,0.0012,0.0014,0.001,0.0012,0.001,0.001
05595.png,0.9876,0.001,0.0006,0.0022,0.0007,0.001,0.0008,0.0008,0.0004,0.0019,0.0006,0.0024
05596.png,0.0005,0.9969,0.0004,0.0003,0.0003,0.0002,0.0003,0.0002,0.0002,0.0003,0.0001,0.0002
05597.png,0.012,0.0034,0.0007,0.0008,0.0003,0.0007,0.0005,0.0007,0.0003,0.9792,0.0004,0.0011
05598.png,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.9986,0.0001
05599.png,0.0016,0.0006,0.0006,0.9925,0.0006,0.0011,0.0006,0.0004,0.0008,0.0004,0.0005,0.0002
05600.png,0.0003,0.0003,0.0005,0.0003,0.0003,0.996,0.0005,0.0004,0.0005,0.0003,0.0003,0.0004
05601.png,0.9922,0.0004,0.0016,0.0009,0.0011,0.0006,0.0006,0.0007,0.0005,0.0003,0.0005,0.0006
05602.png,0.0002,0.0009,0.0011,0.0004,0.0003,0.0003,0.0003,0.0003,0.0005,0.9949,0.0002,0.0005
05603.png,0.0005,0.0008,0.0007,0.0013,0.0011,0.0008,0.9891,0.0018,0.002,0.0005,0.0007,0.0008
05604.png,0.0401,0.002,0.001,0.0017,0.0029,0.0019,0.0016,0.0046,0.0017,0.0011,0.0005,0.9408
05605.png,0.0002,0.998,0.0002,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
05606.png,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.9988,0.0001
05607.png,0.9711,0.0022,0.0054,0.0086,0.0021,0.001,0.002,0.0013,0.0007,0.002,0.001,0.0024
05608.png,0.0007,0.0007,0.0003,0.0004,0.0003,0.0003,0.0002,0.0002,0.0002,0.9964,0.0002,0.0002
05609.png,0.0018,0.0007,0.0008,0.0014,0.0011,0.001,0.9884,0.0013,0.0011,0.001,0.0006,0.0008
05610.png,0.0003,0.0005,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0002,0.9973,0.0002,0.0002
05611.png,0.0009,0.0002,0.0012,0.0005,0.0004,0.0011,0.0005,0.0007,0.0006,0.0004,0.0004,0.9931
05612.png,0.0005,0.0003,0.0004,0.0004,0.0002,0.0004,0.0003,0.0003,0.0003,0.0003,0.0002,0.9963
05613.png,0.0003,0.0003,0.0003,0.0003,0.0002,0.0006,0.0004,0.0003,0.0003,0.0002,0.0002,0.9966
05614.png,0.0007,0.0008,0.0012,0.0005,0.0005,0.9923,0.0006,0.0006,0.0006,0.0008,0.0006,0.0008
05615.png,0.0016,0.0007,0.0054,0.0009,0.0031,0.001,0.0007,0.0009,0.0013,0.0007,0.0003,0.9834
05616.png,0.0002,0.0003,0.0003,0.0003,0.0002,0.0002,0.0002,0.0002,0.0002,0.9975,0.0001,0.0003
05617.png,0.9929,0.0003,0.0008,0.0023,0.0006,0.0012,0.0002,0.0004,0.0003,0.0003,0.0003,0.0003
05618.png,0.0002,0.9981,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002,0.0002,0.0001,0.0002
05619.png,0.2947,0.0699,0.1338,0.0628,0.0453,0.1518,0.0406,0.0328,0.0319,0.0769,0.0413,0.0184
05620.png,0.0008,0.0003,0.0007,0.0005,0.0004,0.0008,0.0005,0.0006,0.0005,0.0003,0.0003,0.9944
05621.png,0.0016,0.0007,0.9816,0.0018,0.001,0.0072,0.0007,0.0005,0.0022,0.0013,0.0005,0.001
05622.png,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.9988,0.0001
05623.png,0.0021,0.9938,0.0007,0.0006,0.0008,0.0004,0.0002,0.0003,0.0003,0.0004,0.0002,0.0003
05624.png,0.913,0.0048,0.0277,0.011,0.0043,0.0031,0.0058,0.0035,0.0025,0.0077,0.002,0.0145
05625.png,0.9912,0.0009,0.0008,0.0013,0.0009,0.0011,0.0006,0.001,0.0004,0.0007,0.0003,0.0007
05626.png,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.9988,0.0001
05627.png,0.0102,0.0018,0.3617,0.0066,0.0032,0.0053,0.0023,0.0027,0.007,0.0029,0.0022,0.594
05628.png,0.9962,0.0003,0.0004,0.0005,0.0004,0.0005,0.0002,0.0004,0.0002,0.0002,0.0003,0.0004
05629.png,0.9205,0.0013,0.0008,0.0017,0.0011,0.0028,0.0011,0.0017,0.0006,0.0284,0.0006,0.0394
05630.png,0.0029,0.0006,0.0026,0.0008,0.0008,0.989,0.0005,0.0007,0.0006,0.0005,0.0005,0.0004
05631.png,0.0044,0.0004,0.0004,0.9895,0.0006,0.0005,0.0008,0.0008,0.0007,0.0008,0.0006,0.0005
05632.png,0.9898,0.0008,0.0013,0.0015,0.0012,0.0006,0.0007,0.0007,0.0005,0.001,0.0003,0.0016
05633.png,0.9893,0.0012,0.0009,0.0011,0.0009,0.0026,0.0007,0.0011,0.0004,0.0008,0.0004,0.0006
05634.png,0.0007,0.0006,0.0015,0.0012,0.0022,0.0007,0.9876,0.0016,0.0014,0.0008,0.0007,0.0011
05635.png,0.7032,0.0019,0.0011,0.0023,0.0012,0.003,0.0013,0.0015,0.0012,0.0085,0.0008,0.2739
05636.png,0.0161,0.0027,0.0168,0.0046,0.0014,0.8823,0.0038,0.0023,0.0133,0.0025,0.0009,0.0532
05637.png,0.8478,0.0027,0.0319,0.022,0.005,0.0101,0.003,0.0024,0.0039,0.0014,0.0017,0.0682
05638.png,0.0002,0.9978,0.0002,0.0001,0.0003,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
05639.png,0.9906,0.0007,0.0012,0.0015,0.0009,0.0012,0.0007,0.0009,0.0006,0.0007,0.0005,0.0006
05640.png,0.0003,0.0003,0.0003,0.0003,0.997,0.0003,0.0003,0.0003,0.0004,0.0003,0.0002,0.0002
05641.png,0.9963,0.0004,0.0003,0.0005,0.0003,0.0004,0.0002,0.0003,0.0002,0.0003,0.0002,0.0006
05642.png,0.0083,0.0026,0.9128,0.0035,0.0027,0.0066,0.0051,0.0021,0.0461,0.0047,0.0016,0.004
05643.png,0.9937,0.0006,0.0003,0.0006,0.0009,0.0008,0.0004,0.001,0.0003,0.0006,0.0005,0.0003
05644.png,0.0002,0.9976,0.0003,0.0002,0.0003,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
05645.png,0.0001,0.0002,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002,0.0002,0.0001,0.9985,0.0001
05646.png,0.0006,0.0003,0.0004,0.0003,0.9968,0.0002,0.0002,0.0003,0.0003,0.0002,0.0002,0.0003
05647.png,0.0005,0.9972,0.0003,0.0003,0.0003,0.0002,0.0002,0.0002,0.0002,0.0003,0.0001,0.0002
05648.png,0.0001,0.0002,0.0001,0.0001,0.0004,0.0001,0.0002,0.0003,0.0002,0.0001,0.9982,0.0001
05649.png,0.0082,0.0003,0.0006,0.0006,0.0004,0.0005,0.0005,0.0005,0.0008,0.0004,0.0003,0.9869
05650.png,0.0005,0.0003,0.0003,0.0004,0.0003,0.9963,0.0003,0.0004,0.0003,0.0004,0.0003,0.0003
05651.png,0.0003,0.0003,0.0003,0.0003,0.9971,0.0002,0.0003,0.0003,0.0003,0.0003,0.0002,0.0002
05652.png,0.0002,0.0002,0.0006,0.0002,0.0002,0.9963,0.0003,0.0003,0.0004,0.0004,0.0004,0.0005
